l    time_i    C(l)    Tau_i     Delta_n
453    76.163432    5    0.286853    0.003707
454    76.450285    6    0.036071    0.000468
455    76.486356    7    0.087415    0.001135
456    76.573771    8    0.118852    0.001538
457    76.692623    7    0.232986    0.002909
458    76.925609    8    0.107974    0.001389
459    77.033583    9    0.091305    0.001133
460    77.124888    10    0.11548    0.001253
461    77.240368    9    0.065287    0.00078
462    77.305655    10    0.081215    0.000878
463    77.38687    9    0.071905    0.000857
464    77.458775    10    0.145939    0.001573
465    77.604714    9    0.030788    0.000366
466    77.635502    10    0.157524    0.001691
467    77.793026    9    0.055253    0.000655
468    77.848279    10    0.123587    0.001321
469    77.971866    9    0.126978    0.001499
470    78.098844    10    0.120894    0.001286
471    78.219738    9    0.028619    0.000337
472    78.248357    10    0.095152    0.001009
473    78.343509    9    0.030964    0.000363
474    78.374473    10    0.077086    0.000816
475    78.451559    9    0.128623    0.001506
476    78.580182    10    0.163863    0.001726
477    78.744045    9    0.032793    0.000382
478    78.776838    10    0.055053    0.000578
479    78.831891    9    0.17914    0.002081
480    79.011031    10    0.071313    0.000746
481    79.082344    9    0.101494    0.001174
482    79.183838    10    0.139193    0.001451
483    79.323031    9    0.061729    0.000712
484    79.38476    10    0.055022    0.000572
485    79.439782    9    0.082658    0.00095
486    79.52244    10    0.067823    0.000703
487    79.590263    9    0.111127    0.001274
488    79.70139    10    0.106978    0.001105
489    79.808368    9    0.139078    0.001588
490    79.947446    10    0.028941    0.000298
491    79.976387    9    0.120503    0.001371
492    80.09689    10    0.154007    0.001582
493    80.250897    9    0.198983    0.00225
494    80.44988    10    0.086172    0.00088
495    80.536052    9    0.04446    0.0005
496    80.580512    10    0.029944    0.000306
497    80.610456    9    0.146611    0.001646
498    80.757067    10    0.10991    0.001118
499    80.866977    9    0.05774    0.000646
500    80.924717    10    0.039075    0.000397
501    80.963792    9    0.05689    0.000635
502    81.020682    10    0.042763    0.000433
503    81.063445    9    0.084114    0.000937
504    81.147559    8    0.659095    0.006612
505    81.806654    7    0.218025    0.002548
506    82.024679    8    0.029056    0.00035
507    82.053735    7    0.234618    0.002726
508    82.288353    8    0.174608    0.002096
509    82.462961    9    0.037692    0.000435
510    82.500653    10    0.095147    0.00094
511    82.5958    9    0.158471    0.001733
512    82.754271    8    0.365143    0.003581
513    83.119414    9    0.116213    0.001331
514    83.235627    10    0.083717    0.000816
515    83.319344    9    0.042563    0.000461
516    83.361907    10    0.135119    0.001313
517    83.497026    9    0.114256    0.001235
518    83.611282    10    0.193006    0.001865
519    83.804288    9    0.080809    0.00087
520    83.885097    10    0.061185    0.000589
521    83.946282    9    0.062619    0.000672
522    84.008901    10    0.102498    0.000985
523    84.111399    9    0.032292    0.000346
524    84.143691    10    0.071008    0.00068
525    84.214699    9    0.031364    0.000336
526    84.246063    10    0.04706    0.00045
527    84.293123    9    0.106369    0.001136
528    84.399492    10    0.073628    0.000703
529    84.47312    9    0.085636    0.000911
530    84.558756    10    0.068592    0.000653
531    84.627348    9    0.028777    0.000306
532    84.656125    10    0.080446    0.000764
533    84.736571    9    0.070023    0.000742
534    84.806594    8    0.194752    0.001844
535    85.001346    9    0.118327    0.001325
536    85.119673    8    0.494318    0.004636
537    85.613991    7    0.312454    0.003462
538    85.926445    8    0.111562    0.001281
539    86.038007    9    0.044377    0.000489
540    86.082384    8    1.065029    0.009769
541    87.147413    9    0.036757    0.0004
542    87.18417    10    0.037536    0.00034
543    87.221706    9    0.157436    0.001623
544    87.379142    8    0.560778    0.005036
545    87.93992    9    0.088512    0.000954
546    88.028432    10    0.114302    0.001018
547    88.142734    9    0.088527    0.000903
548    88.231261    10    0.079269    0.000704
549    88.31053    9    0.046841    0.000477
550    88.357371    10    0.160275    0.001419
551    88.517646    9    0.092678    0.00094
552    88.610324    10    0.057741    0.000509
553    88.668065    9    0.154231    0.001559
554    88.822296    10    0.17622    0.001549
555    88.998516    9    0.032672    0.00033
556    89.031188    10    0.106372    0.000932
557    89.13756    9    0.198006    0.001987
558    89.335566    10    0.095703    0.000835
559    89.431269    9    0.072497    0.000725
560    89.503766    10    0.058818    0.000512
561    89.562584    9    0.048368    0.000482
562    89.610952    10    0.09291    0.000807
563    89.703862    9    0.127926    0.001273
564    89.831788    10    0.031419    0.000273
